FirstName;LastName;Description;OfficeRoom;PhoneNumber;MobileNumber;Position;DepartmentField;EmailAddress;Ablaufdatum;External;TL;AL;AccountDisabled;ADGroup
Karola;Geisel;Karola Geisel - Manager;180;(03617) 37683;+49(0)2171 400626;Entwickler;Marketing;kaulraik@hotmail.de;08.07.2025;No;Detlef Schottin;Sandra Gehringer;False;Domain Users
Karl-Heinrich;Heydrich;Karl-Heinrich Heydrich - Techniker;163;01362 863101;00648134763;Administrator;Finanzen;hartmannluitgard@googlemail.com;03.08.2025;Yes;Elzbieta Hauffer;Rahel Kabus;False;HR-Team
Patric;Mälzer;Patric Mälzer - Techniker;655;+49 (0) 8312 253033;+49 (0) 9133 823627;Manager;Vertrieb;pero53@gmail.com;27.06.2025;No;Adelheid Liebelt;Dorit Jessel;False;Marketing-Team
Angelika;Jungfer;Angelika Jungfer - Entwickler;207;+49 (0) 6184 934603;00123 620233;Techniker;Finanzen;ymargraf@googlemail.com;09.11.2025;Yes;Kata Koch;Jadwiga Albers;False;HR-Team
Katja;Sontag;Katja Sontag - Administrator;568;09293859150;+49(0)2310 938778;Techniker;Marketing;wweitzel@plath.de;07.01.2026;Yes;Marisa Krause;Gerhard Scholz;False;HR-Team
Gerfried;Spieß;Gerfried Spieß - Support;912;02871 929916;+49(0)9266 256345;Administrator;Finanzen;bwesack@aol.de;16.08.2025;Yes;Anton Junken;Frithjof Ullmann;False;Domain Users
Vincenzo;Knappe;Vincenzo Knappe - Techniker;362;+49(0) 351763224;00758 18115;Entwickler;HR;dbender@schwital.org;16.06.2025;Yes;Aenne Jopich;Alicia Nerger;False;HR-Team
Janus;Köster;Janus Köster - Administrator;833;+49(0)8304 882604;+49(0)2063 419500;Techniker;IT;wilfriede64@aol.de;30.01.2026;Yes;Paul Faust;Friedrich Karge;False;Marketing-Team
Dominic;Bender;Dominic Bender - Manager;393;05900 509247;+49(0)2357 31321;Administrator;Vertrieb;weinhageyvonne@googlemail.com;25.01.2026;Yes;Tania Hendriks;Damian Hein;True;IT-Admins
Almuth;Ladeck;Almuth Ladeck - Entwickler;342;(00905) 119407;01415 238049;Manager;HR;gerwinbriemer@hotmail.de;13.06.2025;No;Werner Koch;Pascale Tintzmann;False;Domain Users
